"VENDOR_PARTY_ID","ALTERNATIVE_VENDOR_PARTY_ID","MANUFACTURER_PARTY_ID","ITEM_ID","CATEGORY_ID","LAST_UPDATED","ITEM_CATEGORY","DESCRIPTION","PRICE","VENDOR","VENDOR_CATALOG_#","MANUFACTURER","MANUFACTURER_CATALOG_#","ALTERNATIVE_VENDOR_PRICE","ALTERNATIVE_VENDOR","ALTERNATIVE_VENDOR_PART_#","INTERMOUNTAIN_ITEM_#_MMIS","PURCHASE_UNIT","CONVERSION","GL_CODE","UNSPC","NOTES"
"","","","","","10/1/2012","Mobile Computer MC70","Cradle 4 slot ethernet w/power supply MC70 (Ethernet = EES)",495,"Extendata","CRD7000-410EES","Motorola","CRD7000-410EES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Charger toaster style 4 slot  no power supply  MC70, MC75 (50-14000-148R power supply 23844-00-00R AC cord)",130,"Extendata","SAC7X00-4000CR","Motorola","SAC7X00-4000CR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Charger cradle single slot serial/USB",112,"Extendata","CRD7X00-100RR","Motorola","CRD7X00-100RR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Cradle kit serial/usb Single Slot Serial/USB (US).Kit includes: Single Slot Cradle CRD7X00-1000RR, P/S PWRS-14000-148R, and US AC Cord 23844-00-00R.",132,"Extendata","CRD7X00-100RES","Motorola","CRD7X00-100RES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Cable RS232 serial",18,"Extendata","25-63852-01","Motorola","25-63852-01","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Cable USB",12.5,"Extendata","25-68596-01","Motorola","25-68596-01","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","QL 220 Direct Thermal Mobile Printer (2 Inch Print Width, 8M/16M, LCD, ZPR 802.11g, Linered Platen and Belt Clip",779,"ExtenData","Q2D-LUGC0000-00","","",875.43,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Zebra RW 420 Plus Mobile Printer (4 Inch Printhead, LCD, 8MB/16MB, Cable Ready, Standard Media and Group N)",545,"ExtenData","R4D-0U0A000N-00","","",610.29,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Lithium- Ion Battery for the QL 220/ QL 320/ QL 220 Plus/ QL 320 Plus",52,"ExtenData","AT16004-1","","",59.47,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Li-Ion Fast Chargers (for charging single battery outside printer) Li72:",64,"ExtenData","AT17696-2","","",72.01,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Quad Charger for the QL220, QL320, QL420 and RW (for Lithium-Ion Batteries)",302,"ExtenData","AC18177-5","","",344.47,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","USB A to MINI B Cable (for programming)",13.4,"ExtenData","17010-01","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","QL 220/ QL 220 Plus Soft Case",41,"ExtenData","DA16803-2","","",46.15,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Shoulder Strap QL",7.04,"ExtenData","BT11132-1","","",7.4,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Printhead Cleaning Pen- Case of 12",23.47,"ExtenData","AN112091","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","QL 220 Service Agreement Year One Enhancement: Includes; Advantage overnight, Module, Comprehensive, 20% Battery Coverage; Year 1 <30 days after purchase.",98,"ExtenData","ZAU-Q2P1-1C0","","","","","","","EA",1,"4228","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","QL 220 Service Agreement TWO YEAR Includes; Advantage, LAN Module, 20% Battery Coverage",92,"ExtenData","ZA0-Q2P1-1C0 ","","","","","","","EA",1,"4228","",""
"","","","","","9/28/2012","Charger for Zebra Mobile Printer","Charger: Single; Lithium Fast Charger (Model#LI72, US-Japan) for the QL and RW Series Printers",67.49,"Extendata","AT17696-2","","",72.01,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Charger for Zebra Mobile Printer","Quad Charger for the QL220, QL320, QL420 and RW (for Lithium-Ion Batteries)",325,"Extendata","AC18177-5","","",344.47,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Other Zebra Printers","LP2824 Plus Direct Thermal Desktop Printer (203 dpi , USB and Ethernet Interfaces)",298,"Extendata","282P-201510-000","","",294.41,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Other Zebra Printers","HC100 Direct Thermal Wristband Printer (300 dpi, ZPLII, XML, 16MB SDRAM, Power Cord with US Plug, Serial, USB and ZebraNet 10/100 Internal PrintServer) Toaster",471,"Extendata","HC100-3001-0100","","","","","","","EA",1,"4183","",""
"","","","","","9/28/2012","Other Zebra Printers","110Xi4 Bar Code Printer (203 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger",1927.65,"Extendata","112-801-00000","","",2198.45,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Other Printers","Printer Label Barcode with Ethernet Cognitive (Only approved to be ordered by LAB services) Replaced by DLXI-D1",579,"MCPC MIAMI COMPUTER PRODUCTS & CONS","LBD42-2043-016","","","","","","","EA",1,"4183","",""
"","","","","","9/28/2012","Other Printers","Printer Label Barcode with Ethernet Cognitive DLXI-D1 (Only approved to be ordered by LAB services)",549,"DIGI-TraX Corporation","DLXI-D1","Cognitive","DLXI-D1","","","","","EA",1,"4183","",""
"","","","","","9/28/2012","Printer Cables","MC90XX CABLE ADAPTER COMM CABLE TO HOST OR PRINTER (ALSO NEED RS232 OR USB PRINTER CABLE & PS)",49,"Extendata","ADP9000-100","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Printer Cables","O''''NEIL PRINTER CABLE",33.84,"Extendata","25-62169-01","","",31.72,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Printer Cables","USB A to MINI B Cable (for programming)",13.4,"Extendata","17010-01","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Printer Cables","Zebra printer cable",33.81,"Extendata","25-62170-02R","","",31.57,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Accessories","Soft Case RW220",48.46,"Extendata","DAK1806001RHD","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Accessories","Shoulder Strap RW220",8,"Extendata","BT111321","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Accessories","Battery- Spare Lithium-Ion Battery Dual Cell RW220",55.76,"Extendata","AT16004-1","","",59.47,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Accessories","Printhead Cleaning Pen- Case of 12",23.47,"Extendata","AN112091","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","CONSUMABLES-Labels","Z-Select 4000D 3.2 mil Receipt (2 Inch x 81.25, 36 Rolls/Case, 3.2 Mil Topcoated Journal) for the QL220. A 3.2 mil direct thermal receipt paper which produces high-contrast black images with Zebra thermal printers. This material has resistance to image fading but is not recommended for applications involving long-term exposure to sunlight or extreme heat.",44,"Extendata","LD-R2KH5b ","","",41.55,"VLCM","","","EA",1,"4142","",""
"","","","","","9/28/2012","CONSUMABLES-Labels","PCMC custom 2x3 Zebra label",76.8,"Extendata","05100GS06407","","","","","","","","","","",""
"","","","","","9/28/2012","CONSUMABLES-Labels","Intermountain Homecare ribbons, 6 rpc RESIN RIBBON 3.50"""""""""""""""" X 1476'''' ",55.43,"Extendata","05095BK08945-C","","","","","","","","","","",""
"","","","","","10/28/2011","RepTrax badge printer - others complete deviation","Dymo LabelWriter 450 usb ",88.23,"VLCM","1752264","","","","","","","EA",1,"4183","",""
"","","","","","9/28/2012","EMMA Printers - Zebra","Zebra 105SL printer w/ethernet",1510,"ExtenData","10500-2001-0070","Zebra","",1697.99,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Pharmacy Printers - Zebra","Zebra ZM400 203 dpi, ZPL, Standard Flash, Power Cord with US Plug, Peel with Full Roll Rewind, Internal ZebraNet 10/100 PrintServer, USB And Serial Interface Options",1450,"ExtenData","ZM400-2001-5100T","Zebra","",1575.22,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Pharmacy Printers - Zebra","Zebra ZM400 203 dpi, ZPL, Standard Flash, Power Cord with US Plug, Internal ZebraNet 10/100 PrintServer, USB And Serial Interface Options",1150,"ExtenData","ZM400-2001-0100T","Zebra","",1262.28,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Pharmacy Printers - Zebra","Zebra GX420d Direct Thermal Desktop Printer, 4.09 inch Print Width, 203dpi, 6ips Print Speed, with RS232 Serial, USB,and Internal Ethernet Interface, Standard Flash, o RTC",459,"ExtenData","GX42-202411-000","Zebra","",465.08,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Zebra RW 420 Plus Mobile Printer (4 Inch Printhead, LCD, 8MB/16MB, Cable Ready, Standard Media and Group N)",545,"ExtenData","R4D-0U0A000N-00","","",610.29,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Lithium- Ion Battery for the QL 220/ QL 320/ QL 220 Plus/ QL 320 Plus",52,"ExtenData","AT16004-1","","",59.47,"VLCM","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Stylus spring loaded  3 pack MC70",46,"Extendata","STYLUS-00002-03","Motorola","STYLUS-00002-03","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Battery 1950mAH 1X MC70",45,"Extendata","BTRY-MC7XEAB0E","Motorola","BTRY-MC7XEAB0E","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Battery 3800mAH 2X MC70",59,"Extendata","BTRY-MC70EAB02","Motorola","BTRY-MC70EAB02","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Maintnance 3 yr service form the start MC70",312,"Extendata","SSB-MC70XX-30","Motorola","SSB-MC70XX-30","","","","","EA",1,"4228","",""
"","","","","","10/1/2012","Mobile Computer MC70","Maintnance 5 yr service form the start MC70",585,"Extendata","SSB-MC70XX-50","Motorola","SSB-MC70XX-50","","","","","EA",1,"4228","",""
"","","","","","10/1/2012","Mobile Computer MC75","MC75A0 wireless Mobile Computer CDMA-Verizon 802.11a/b/g, Imager, Camera, 256M/1G, Qwerty",1533,"Extendata","MC75A8-P4FSWQRA9WR","Motorola","MC75A8-P4FSWQRA9WR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC75","MC75A8 wireless Mobile Computer CDMA-WAN 802.11a/b/g, Imager, Camera, 256M/1G, Qwerty",1310,"Extendata","MC75A0-P40SWQQA9WR","Motorola","MC75A0-P40SWQQA9WR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC75","Battery for MC70/75",59,"Extendata","BTRY-MC7XEAB00","Motorola","BTRY-MC7XEAB00","","","","","EA",1,"4144","",""
